Doc,Topic,Doc_ID
"#Salvini: Mi sono letto la dichiarazione islamica dei diritti dell'uomo, alternativa alla dichiarazione universale. C'è scritto che la giustizia islamica prevale, che la libertà di PENSIERO è limitata e che la DONNA vale meno dell'UOMO. MI PREOCCUPA. #AnsaElezioni @Agenzia_Ansa",64,24600
"#Salvini: io sono un amante della democrazia, e sono contro ogni dittatura e ogni violenza, antifascista, anticomunista, antinazista... e ritengo che l'estremismo islamico sia il primo fondamentale problema di sicurezza in questo Paese. #Mezzorainpiù",64,24763
"#Salvini: Nella dichiarazione islamica dei diritti dell'uomo c'è scritto che la donna vale meno dell'uomo, che la libertà di pensiero e di parola è limitata rispetto a quanto imposto dal Corano. C'è dell'INCOMPATIBILITÀ con i nostri VALORI. #lariachetira",64,24820
"#Salvini: L'ISLAM applicato alla lettera è un atto di VIOLENZA, INCOMPATIBILE CON LE NOSTRE LIBERTÀ. #fattiemisfatti @MediasetTgcom24 pic.twitter.com/LpM5AEYnsh",64,24986
"Mense per islamici, letti in ospedale per donne islamiche, finanziamenti per gli islamici che vogliono comprare casa. Ecco il candidato a 5Stelle. Ma sono più a sinistra del PD!!! #4marzovotoLega http://www.ilgiornale.it/news/politica/m5s-arruola-pure-prof-che-vuole-islamizzare-torino-1487873.html?mobile_detect=false …",64,25002
"E la Boldrini, che ama tanto l’Islam, tace. http://www.repubblica.it/esteri/2017/12/27/news/_negate_i_diritti_alle_donne_la_campionessa_di_scacchi_boicotta_l_arabia_saudita-185341610/ …",64,25341
"#Salvini: o l'Islam si adegua alla nostra società del 2017 o nessuno spazio. Così si difendono i diritti delle donne, non parlando di sindacA o ministrA, come fa la Boldrini... #primagliitaliani",64,25492
"Il terrorismo islamico ci ha dichiarato guerra, ma 5 tunisini indagati per legami con l'Isis NON POSSONO essere arrestati per ""questioni PROCEDURALI""! Ma ci rendiamo conto? Siamo diventati la barzelletta del mondo.La sicurezza nazionale DEVE avere la priorità! Gentiloni, SVEGLIA! pic.twitter.com/T2DCZCcGN1",64,25751
"Il terrorista islamico di #NewYork si dice ""orgoglioso"" della strage compiuta e ha chiesto una bandiera ISIS nella sua camera d'ospedale.",64,25852
Io sarei più pericoloso dei terroristi islamici? Lo vada a dire ai parenti delle migliaia di vittime dell'ISIS. Ricoveratelo!!! pic.twitter.com/mdkEI0feal,64,25945
"Eliminata l'espressione ""dopo Cristo"" perché offenderebbe i musulmani... FOLLIE buoniste!!! http://www.dagospia.com/rubrica-3/politica/via-ldquo-dopo-cristo-rdquo-perche-rsquo-offende-musulmani-scoppia-157828.htm …",64,26132
"Islam, religione di pace, diritti e libertà... La Boldrini e la Boschi non dicono niente? Moschee? NO, grazie. http://www.corriere.it/esteri/17_agosto_28/londra-bimba-cristiana-5-anni-affidata-famiglia-musulmana-de01730e-8bbb-11e7-b9bf-f9bee7e83ed2.shtml …",64,26519
"Avanti così dai, concediamo spazi e moschee a questo Islam di pace e amore! http://www.lastampa.it/2017/08/20/esteri/dentro-il-covo-dellimam-il-regista-del-piano-per-sconvolgere-leuropa-JJBGfG5opwtUOcLuS3GyAP/pagina.html …",64,26564
"La madre di due dei terroristi islamici uccisi in Spagna: ""Non capisco, erano bravi ragazzi"". Come no. pic.twitter.com/4gBGBv5qCy",64,26569
"Chi finanzia moschea di Sesto San Giovanni? Se c'è dietro un Paese come Qatar, non si apre neanche mezzo metro quadro di sottoscala. pic.twitter.com/vjnYz9vYj6",64,27028
I giocatori #sauditi? Rifiutano di onorare le vittime di #Londra...! Che dialogo si può avere con questo Islam??? VERGOGNATEVI!!! pic.twitter.com/ZGF3dEdKJR,64,27234
"""TERRORISTI islamici sui GOMMONI partiti dalla Tunisia"", la Procura di Palermo indaga e ferma 15 persone. pic.twitter.com/NAkxkswuMc",64,27271
"#Salvini: Per la subcultura islamica donna vale meno dell'uomo, se non cambi idea non ti lascio nemmeno un metro per moschea.#QuintaColonna pic.twitter.com/LVYJRNhx7H",64,27284
#Salvini: Chiudere luoghi in cui possono radicalizzarsi ESTREMISTI ISLAMICI. #QuintaColonna,64,27288
"""Quando è troppo è troppo... Basta tolleranza con l'estremismo islamico"".  Così Theresa May, premier britannica. pic.twitter.com/cHRpaVAXH0",64,27298
"Morti e feriti a #Londra, passanti travolti e sgozzati ""nel nome di Allah"". #LondonBrige pic.twitter.com/qXDkDkemzS",64,27303
"L'ISIS invita i suoi seguaci a una ""guerra totale"" e ""a colpire gli infedeli in Europa"" a partire da domani, inizio del mese di Ramadan. pic.twitter.com/kMjGjB9i8f",64,27478
"#Manchester,culla di jihadismo, tra SPOSE BAMBINE dell'Isis e migliaia di minorenni a rischio di ""radicalizzazione"".  http://www.ilfattoquotidiano.it/2017/05/24/attacco-manchester-dalle-gemelle-spose-salma-e-zahra-ai-college-di-copertura-la-citta-culla-dei-baby-jihadisti-dinghilterra/3609615/ … pic.twitter.com/fZRbUm7hYU",64,27494
#Salvini: vanno controllati tutti i luoghi dove c'è il rischio di propaganda islamica. #Dimartedi pic.twitter.com/LIXAmohfBm,64,27506
"#Salvini: se Islam non riconosce nemmeno il valore della donna, non concedo nemmeno un metro quadro per moschee. #Dimartedi",64,27507
#Salvini: #5stelle chiedono reintegrazione sociale dei combattenti islamici. FOLLIA. #dimartedi,64,27509
"#Salvini: secondo gli ospiti, i combattenti islamici vanno riaccolti dopo essere stati in Siria a sgozzare cristiani? In galera. #dimartedi",64,27510
"Altro sangue innocente, decine di morti a #Manchester. La Polizia inglese parla di ""terrorismo"", estremisti islamici festeggiano in rete. pic.twitter.com/91b1moj24b",64,27516
"#Egitto, strage in chiesa. E c'è chi aiuta l'Isis e spalanca i confini... Maledetto chi versa sangue in nome di un Dio. #domenicadellepalme pic.twitter.com/9Y5pAghmAv",64,28115
"US missiles on #Syria? Bad idea, big mistake, a gift to #ISIS. Haven't the disasters in Iraq, Afghanistan, Libya taught the world anything?",64,28136
"Missili americani sulla #Syria? Pessima idea, grave errore e regalo all'ISIS. #Trump pic.twitter.com/KGIg7aHIjQ",64,28141
"#Salvini: @alanfriedmanit nega l'evidenza, per lui i terroristi dei recenti attentati sono ""europei"". Si, va bene... #gabbiaopen pic.twitter.com/IkV2mZXouj",64,28223
